Lookback (h),Model,MAE (°C),RMSE (°C)
6,Moving Average,1.8477,2.4667
6,Vanilla RNN,0.5276,0.7779
6,LSTM,0.6046,0.831
12,Moving Average,2.6531,3.4435
12,Vanilla RNN,0.5073,0.745
12,LSTM,0.5516,0.7771
24,Moving Average,2.492,3.168
24,Vanilla RNN,0.5013,0.7224
24,LSTM,0.5361,0.7629
48,Moving Average,2.8236,3.5484
48,Vanilla RNN,0.4925,0.7182
48,LSTM,0.5502,0.7715
72,Moving Average,3.0447,3.8136
72,Vanilla RNN,0.5036,0.7191
72,LSTM,0.6087,0.8139
120,Moving Average,3.3434,4.1947
120,Vanilla RNN,0.4997,0.7218
120,LSTM,0.5897,0.799
